,Country_Code,sub-region,Continent
0,AFG,Southern Asia,Asia
1,ALA,Northern Europe,Europe
2,ALB,Southern Europe,Europe
3,DZA,Northern Africa,Africa
4,ASM,Polynesia,Oceania
5,AND,Southern Europe,Europe
6,AGO,Sub-Saharan Africa,Africa
7,AIA,Latin America and the Caribbean,Americas
8,ATA,,
9,ATG,Latin America and the Caribbean,Americas
10,ARG,Latin America and the Caribbean,Americas
11,ARM,Western Asia,Asia
12,ABW,Latin America and the Caribbean,Americas
13,AUS,Australia and New Zealand,Oceania
14,AUT,Western Europe,Europe
15,AZE,Western Asia,Asia
16,BHS,Latin America and the Caribbean,Americas
17,BHR,Western Asia,Asia
18,BGD,Southern Asia,Asia
19,BRB,Latin America and the Caribbean,Americas
20,BLR,Eastern Europe,Europe
21,BEL,Western Europe,Europe
22,BLZ,Latin America and the Caribbean,Americas
23,BEN,Sub-Saharan Africa,Africa
24,BMU,Northern America,Americas
25,BTN,Southern Asia,Asia
26,BOL,Latin America and the Caribbean,Americas
27,BES,Latin America and the Caribbean,Americas
28,BIH,Southern Europe,Europe
29,BWA,Sub-Saharan Africa,Africa
30,BVT,Latin America and the Caribbean,Americas
31,BRA,Latin America and the Caribbean,Americas
32,IOT,Sub-Saharan Africa,Africa
33,BRN,South-eastern Asia,Asia
34,BGR,Eastern Europe,Europe
35,BFA,Sub-Saharan Africa,Africa
36,BDI,Sub-Saharan Africa,Africa
37,CPV,Sub-Saharan Africa,Africa
38,KHM,South-eastern Asia,Asia
39,CMR,Sub-Saharan Africa,Africa
40,CAN,Northern America,Americas
41,CYM,Latin America and the Caribbean,Americas
42,CAF,Sub-Saharan Africa,Africa
43,TCD,Sub-Saharan Africa,Africa
44,CHL,Latin America and the Caribbean,Americas
45,CHN,Eastern Asia,Asia
46,CXR,Australia and New Zealand,Oceania
47,CCK,Australia and New Zealand,Oceania
48,COL,Latin America and the Caribbean,Americas
49,COM,Sub-Saharan Africa,Africa
50,COG,Sub-Saharan Africa,Africa
51,COD,Sub-Saharan Africa,Africa
52,COK,Polynesia,Oceania
53,CRI,Latin America and the Caribbean,Americas
54,CIV,Sub-Saharan Africa,Africa
55,HRV,Southern Europe,Europe
56,CUB,Latin America and the Caribbean,Americas
57,CUW,Latin America and the Caribbean,Americas
58,CYP,Western Asia,Asia
59,CZE,Eastern Europe,Europe
60,DNK,Northern Europe,Europe
61,DJI,Sub-Saharan Africa,Africa
62,DMA,Latin America and the Caribbean,Americas
63,DOM,Latin America and the Caribbean,Americas
64,ECU,Latin America and the Caribbean,Americas
65,EGY,Northern Africa,Africa
66,SLV,Latin America and the Caribbean,Americas
67,GNQ,Sub-Saharan Africa,Africa
68,ERI,Sub-Saharan Africa,Africa
69,EST,Northern Europe,Europe
70,SWZ,Sub-Saharan Africa,Africa
71,ETH,Sub-Saharan Africa,Africa
72,FLK,Latin America and the Caribbean,Americas
73,FRO,Northern Europe,Europe
74,FJI,Melanesia,Oceania
75,FIN,Northern Europe,Europe
76,FRA,Western Europe,Europe
77,GUF,Latin America and the Caribbean,Americas
78,PYF,Polynesia,Oceania
79,ATF,Sub-Saharan Africa,Africa
80,GAB,Sub-Saharan Africa,Africa
81,GMB,Sub-Saharan Africa,Africa
82,GEO,Western Asia,Asia
83,DEU,Western Europe,Europe
84,GHA,Sub-Saharan Africa,Africa
85,GIB,Southern Europe,Europe
86,GRC,Southern Europe,Europe
87,GRL,Northern America,Americas
88,GRD,Latin America and the Caribbean,Americas
89,GLP,Latin America and the Caribbean,Americas
90,GUM,Micronesia,Oceania
91,GTM,Latin America and the Caribbean,Americas
92,GGY,Northern Europe,Europe
93,GIN,Sub-Saharan Africa,Africa
94,GNB,Sub-Saharan Africa,Africa
95,GUY,Latin America and the Caribbean,Americas
96,HTI,Latin America and the Caribbean,Americas
97,HMD,Australia and New Zealand,Oceania
98,VAT,Southern Europe,Europe
99,HND,Latin America and the Caribbean,Americas
100,HKG,Eastern Asia,Asia
101,HUN,Eastern Europe,Europe
102,ISL,Northern Europe,Europe
103,IND,Southern Asia,Asia
104,IDN,South-eastern Asia,Asia
105,IRN,Southern Asia,Asia
106,IRQ,Western Asia,Asia
107,IRL,Northern Europe,Europe
108,IMN,Northern Europe,Europe
109,ISR,Western Asia,Asia
110,ITA,Southern Europe,Europe
111,JAM,Latin America and the Caribbean,Americas
112,JPN,Eastern Asia,Asia
113,JEY,Northern Europe,Europe
114,JOR,Western Asia,Asia
115,KAZ,Central Asia,Asia
116,KEN,Sub-Saharan Africa,Africa
117,KIR,Micronesia,Oceania
118,PRK,Eastern Asia,Asia
119,KOR,Eastern Asia,Asia
120,KWT,Western Asia,Asia
121,KGZ,Central Asia,Asia
122,LAO,South-eastern Asia,Asia
123,LVA,Northern Europe,Europe
124,LBN,Western Asia,Asia
125,LSO,Sub-Saharan Africa,Africa
126,LBR,Sub-Saharan Africa,Africa
127,LBY,Northern Africa,Africa
128,LIE,Western Europe,Europe
129,LTU,Northern Europe,Europe
130,LUX,Western Europe,Europe
131,MAC,Eastern Asia,Asia
132,MDG,Sub-Saharan Africa,Africa
133,MWI,Sub-Saharan Africa,Africa
134,MYS,South-eastern Asia,Asia
135,MDV,Southern Asia,Asia
136,MLI,Sub-Saharan Africa,Africa
137,MLT,Southern Europe,Europe
138,MHL,Micronesia,Oceania
139,MTQ,Latin America and the Caribbean,Americas
140,MRT,Sub-Saharan Africa,Africa
141,MUS,Sub-Saharan Africa,Africa
142,MYT,Sub-Saharan Africa,Africa
143,MEX,Latin America and the Caribbean,Americas
144,FSM,Micronesia,Oceania
145,MDA,Eastern Europe,Europe
146,MCO,Western Europe,Europe
147,MNG,Eastern Asia,Asia
148,MNE,Southern Europe,Europe
149,MSR,Latin America and the Caribbean,Americas
150,MAR,Northern Africa,Africa
151,MOZ,Sub-Saharan Africa,Africa
152,MMR,South-eastern Asia,Asia
153,NAM,Sub-Saharan Africa,Africa
154,NRU,Micronesia,Oceania
155,NPL,Southern Asia,Asia
156,NLD,Western Europe,Europe
157,NCL,Melanesia,Oceania
158,NZL,Australia and New Zealand,Oceania
159,NIC,Latin America and the Caribbean,Americas
160,NER,Sub-Saharan Africa,Africa
161,NGA,Sub-Saharan Africa,Africa
162,NIU,Polynesia,Oceania
163,NFK,Australia and New Zealand,Oceania
164,MKD,Southern Europe,Europe
165,MNP,Micronesia,Oceania
166,NOR,Northern Europe,Europe
167,OMN,Western Asia,Asia
168,PAK,Southern Asia,Asia
169,PLW,Micronesia,Oceania
170,PSE,Western Asia,Asia
171,PAN,Latin America and the Caribbean,Americas
172,PNG,Melanesia,Oceania
173,PRY,Latin America and the Caribbean,Americas
174,PER,Latin America and the Caribbean,Americas
175,PHL,South-eastern Asia,Asia
